"Price" "Mileage" "Model"
51154.04722 2202 "CST-V"
49248.15897 6685 "CST-V"
46747.67327 15343 "CST-V"
44130.61706 21341 "CST-V"
44084.91421 21367 "CST-V"
43892.46788 23371 "CST-V"
44300.63996 23751 "CST-V"
42677.60112 24052 "CST-V"
43374.05242 25199 "CST-V"
40619.07227 30082 "CST-V"
33417.96501 6598 "CTS"
30957.08075 10625 "CTS"
31431.13037 11013 "CTS"
30781.51563 14937 "CTS"
30646.4377 17094 "CTS"
30792.14903 17870 "CTS"
30392.75016 18449 "CTS"
28817.08185 21039 "CTS"
29275.20871 21056 "CTS"
28040.12853 27484 "CTS"
39801.55135 14095 "Deville"
40335.73731 14743 "Deville"
39307.00916 16041 "Deville"
38600.23956 17138 "Deville"
38445.89717 18661 "Deville"
36077.79612 21966 "Deville"
35866.58271 24415 "Deville"
35338.65369 25163 "Deville"
36154.30355 25339 "Deville"
34685.66298 25421 "Deville"
42820.32902 5499 "Deville"
41378.04809 8125 "Deville"
40856.3909 12791 "Deville"
41419.03726 14452 "Deville"
37510.25357 21593 "Deville"
37215.16938 22211 "Deville"
36332.89469 25153 "Deville"
36245.15823 26250 "Deville"
32954.14134 36074 "Deville"
32537.18675 41829 "Deville"
35715.76856 6447 "Deville"
35651.68002 10555 "Deville"
35129.34077 11975 "Deville"
35165.75937 13449 "Deville"
32501.24519 17508 "Deville"
33220.02845 18661 "Deville"
32509.47829 20910 "Deville"
31132.21349 23124 "Deville"
31181.71516 26222 "Deville"
31059.18103 27544 "Deville"
42741.52367 2846 "STS-V6"
40966.60741 7476 "STS-V6"
38795.37909 13973 "STS-V6"
38297.46254 16754 "STS-V6"
37192.89637 19100 "STS-V6"
36210.123 21778 "STS-V6"
36633.63382 22042 "STS-V6"
35895.49941 23056 "STS-V6"
34974.37804 25796 "STS-V6"
32038.33956 35326 "STS-V6"
48310.32954 788 "STS-V8"
48365.9809 2616 "STS-V8"
45061.95194 13829 "STS-V8"
44205.87588 15104 "STS-V8"
42377.95544 18581 "STS-V8"
41671.58314 20575 "STS-V8"
41516.42986 23861 "STS-V8"
41053.48217 25717 "STS-V8"
38208.50102 31303 "STS-V8"
39072.39205 31587 "STS-V8"
70755.46672 583 "XLR-V8"
68566.18719 6420 "XLR-V8"
69133.73172 7892 "XLR-V8"
66374.30704 12021 "XLR-V8"
65281.48124 15600 "XLR-V8"
63913.11725 18200 "XLR-V8"
60567.54909 23193 "XLR-V8"
57154.44344 29260 "XLR-V8"
55639.08765 31805 "XLR-V8"
52001.99438 42691 "XLR-V8"
