Company,Orig,Review,Cocao,Location,Rating,Type,BroadOrig
A. Morin,Agua Grande,2016,63%,France,3.75,A,Sao Tome
A. Morin,Kpime,2015,70%,France,2.75,A,Togo
A. Morin,Atsane,2015,70%,France,3,A,Togo
A. Morin,Akata,2015,70%,France,3.5,A,Togo
A. Morin,Quilla,2015,70%,France,3.5,A,Peru
A. Morin,Cuba,2014,70%,France,3.5,A,Cuba
A. Morin,Pablino,2014,70%,France,4,A,Peru
A. Morin,Panama,2013,70%,France,2.75,A,Panama
A. Morin,Brazil,2013,70%,France,3.25,A,Brazil
A. Morin,Equateur,2013,70%,France,3.75,A,Ecuador
A. Morin,Colombie,2013,70%,France,2.75,A,Colombia
A. Morin,Birmanie,2013,70%,France,3,A,Burma
A. Morin,Papua New Guinea,2013,70%,France,3.25,A,Papua New Guinea
A. Morin,Piura,2013,70%,France,3.25,A,Peru
A. Morin,Chanchamayo Province,2013,70%,France,3.5,A,Peru
A. Morin,Chanchamayo Province,2013,63%,France,4,A,Peru
A. Morin,Bolivia,2012,70%,France,3.5,A,Bolivia
A. Morin,Peru,2012,63%,France,3.75,A,Peru
Acalli,"Chulucanas, El Platanal",2015,70%,U.S.A.,3.75,A,Peru
Alain Ducasse,"Piura, Perou",2013,75%,France,2.5,A,Peru
Altus aka Cao Artisan,Momotombo,2016,60%,U.S.A.,2.75,A,Nicaragua
Altus aka Cao Artisan,Acopagro,2016,60%,U.S.A.,3,A,Peru
Altus aka Cao Artisan,CIAAB Coop,2016,60%,U.S.A.,2.5,A,Bolivia
Altus aka Cao Artisan,Villa Andina,2016,60%,U.S.A.,2.5,A,Peru
Altus aka Cao Artisan,Gruppo Salinas,2016,60%,U.S.A.,2.75,A,Ecuador
Altus aka Cao Artisan,Sur del Lago,2013,60%,U.S.A.,2.5,A,Venezuela
Altus aka Cao Artisan,Bolivia,2013,80%,U.S.A.,3.25,A,Bolivia
Altus aka Cao Artisan,Bolivia,2013,60%,U.S.A.,3,A,Bolivia
Altus aka Cao Artisan,Peru,2013,60%,U.S.A.,3.25,A,Peru
Amano,Morobe,2011,70%,U.S.A.,4,A,Papua New Guinea
Amano,Dos Rios,2010,70%,U.S.A.,3.75,A,Dominican Republic
Amano,Guayas,2010,70%,U.S.A.,4,A,Ecuador
Amano,Montanya,2009,70%,U.S.A.,3,A,Venezuela
Amano,"Bali, Jembrana",2008,70%,U.S.A.,2.75,A,Indonesia
Amano,Cuyagua,2007,70%,U.S.A.,3,A,Venezuela
Amatller (Simon Coll),Ecuador,2009,70%,Spain,2.75,A,Ecuador
Amatller (Simon Coll),Ecuador,2009,85%,Spain,2.75,A,Ecuador
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72%,Peru,3.25,A,Peru
Ambrosia,Dominican Republic,2015,75%,Canada,3.25,A,Dominican Republic
Ambrosia,Papua New Guinea,2015,63%,Canada,3.25,A,Papua New Guinea
Ambrosia,Venezuela,2015,70%,Canada,3.25,A,Venezuela
Ambrosia,Peru,2015,68%,Canada,3.5,A,Peru
Amedei,"Piura, Blanco de Criollo",2012,70%,Italy,3.75,A,Peru
Anahata,Elvesia,2014,75%,U.S.A.,3,A,Dominican Republic
Animas,Alto Beni,2016,75%,U.S.A.,3.5,A,Bolivia
Ara,Chiapas,2014,72%,France,2.5,A,Mexico
Ara,Equateur,2014,75%,France,2.75,A,Ecuador
Ara,Trincheras,2014,75%,France,3,A,Venezuela
Arete,Kokoa Kamili,2016,70%,U.S.A.,3.75,A,Tanzania
Arete,Hacienda Victoria,2016,70%,U.S.A.,3.25,A,Ecuador
Arete,Costa Esmeraldas,2016,70%,U.S.A.,3.25,A,Ecuador
Arete,Lachua,2016,70%,U.S.A.,3.5,A,Guatemala
Arete,Rugoso,2016,70%,U.S.A.,3.75,A,Nicaragua
Arete,"La Masica, FHIA",2016,70%,U.S.A.,3.5,A,Honduras
Arete,"Coto Brus, Terciopelo",2016,70%,U.S.A.,4,A,Costa Rica
Arete,Elvesia,2016,70%,U.S.A.,3.75,A,Dominican Republic
Arete,Matasawalevu,2016,70%,U.S.A.,3.25,A,Fiji
Arete,Lam Dong,2016,73%,U.S.A.,3.25,A,Vietnam
Arete,Fazenda Camboa,2015,70%,U.S.A.,3.5,A,Brazil
Arete,Oko Caribe,2015,70%,U.S.A.,3.5,A,Domincan Republic
Arete,Fazenda Camboa,2015,75%,U.S.A.,2.75,A,Brazil
Arete,Guatemala,2015,70%,U.S.A.,3.25,A,Guatemala
Arete,Camino Verde,2015,75%,U.S.A.,3.5,A,Ecuador
Artisan du Chocolat,"Colombia, Casa Luker",2012,72%,U.K.,3.75,A,Colombia
Artisan du Chocolat,Haiti,2011,72%,U.K.,4,A,Haiti
Artisan du Chocolat,Panama,2011,72%,U.K.,2.75,A,Panama
Artisan du Chocolat,Venezuela,2010,100%,U.K.,1.75,A,Venezuela
Artisan du Chocolat,Costa Rica,2010,72%,U.K.,3.25,A,Costa Rica
Artisan du Chocolat,Bali,2010,72%,U.K.,3.5,A,Indonesia
Artisan du Chocolat,Brazil Rio Doce,2009,72%,U.K.,1.75,A,Brazil
Bahen & Co.,Houseblend,2015,80%,Australia,3.25,A,Â 
Bahen & Co.,Papua New Guinea,2015,70%,Australia,3.5,A,Papua New Guinea
Bahen & Co.,Bahia,2012,70%,Australia,2.5,A,Brazil
Bakau,"Bambamarca, 2015",2015,70%,Peru,2.75,A,Peru
Bakau,"Huallabamba, 2015",2015,70%,Peru,3.5,A,Peru
Bar Au Chocolat,Bahia,2015,70%,U.S.A.,3.5,A,Brazil
Bar Au Chocolat,Duarte Province,2012,70%,U.S.A.,3.25,A,Dominican Republic
Bar Au Chocolat,Chiapas,2012,70%,U.S.A.,3.5,A,Mexico
Baravelli's,single estate,2012,80%,Wales,2.75,A,Costa Rica
Batch,"Dominican Republic, Batch 3",2016,65%,U.S.A.,3.5,A,Domincan Republic
Batch,Brazil,2016,70%,U.S.A.,3.75,A,Brazil
Batch,Ecuador,2016,65%,U.S.A.,3.25,A,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73%,U.K.,3,A,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72%,U.K.,3.25,A,Malaysia
Beehive,"Brazil, Batch 20316",2016,80%,U.S.A.,2.75,A,Brazil
Beehive,"Dominican Republic, Batch 31616",2016,70%,U.S.A.,2.75,A,Domincan Republic
Beehive,"Ecuador, Batch 31516",2016,70%,U.S.A.,2.75,A,Ecuador
Beehive,Ecuador,2016,90%,U.S.A.,2.75,A,Ecuador
Belcolade,Costa Rica,2010,64%,Belgium,2.75,A,Costa Rica
Belcolade,Papua New Guinea,2010,64%,Belgium,2.75,A,Papua New Guinea
Belcolade,Peru,2010,64%,Belgium,2.75,A,Peru
Belcolade,Ecuador,2010,71%,Belgium,3.5,A,Ecuador
Bellflower,"Alto Beni, Palos Blanco",2016,70%,U.S.A.,3.25,A,Bolivia
Bellflower,"Oko Caribe, Duarte P.",2016,70%,U.S.A.,3.5,A,Domincan Republic
Bernachon,Nature,2012,55%,France,2.75,A,Â 
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72%,Switzerland,3.5,A,Venezuela
Beschle (Felchlin),Ecuador,2011,72%,Switzerland,4,A,Ecuador
Beschle (Felchlin),"Java, Grand Cru",2010,64%,Switzerland,3.5,A,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72%,Switzerland,3.5,A,Venezuela
Bisou,"Nicaragua, American style",2015,76%,U.S.A.,2.5,A,Nicaragua
Bisou,"San Andres, American style",2015,76%,U.S.A.,2.5,A,Costa Rica
Bisou,"San Andres, silk",2015,78%,U.S.A.,2.5,A,Costa Rica
Bittersweet Origins,"Bali, Singaraja",2010,75%,U.S.A.,3.25,A,Indonesia
Bittersweet Origins,"Bali, Singaraja",2010,65%,U.S.A.,2.75,A,Indonesia
Bittersweet Origins,Puerto Plata,2009,75%,U.S.A.,3,A,Dominican Republic
Bittersweet Origins,Puerto Plata,2009,65%,U.S.A.,3.5,A,Dominican Republic
Bittersweet Origins,Bocas del Toro,2008,75%,U.S.A.,3.5,A,Panama
Bittersweet Origins,Puerto Plata,2008,68%,U.S.A.,3.75,A,Dominican Republic
Black Mountain,La Red,2008,70%,U.S.A.,2.75,A,Dominican Republic
Black Mountain,Matiguas,2008,70%,U.S.A.,3,A,Nicaragua
Blanxart,Organic Dark,2009,72%,Spain,2.75,A,Â 
Blue Bandana,Lachua,2016,75%,U.S.A.,2.75,A,Guatemala
Blue Bandana,Kokoa Kamili,2016,75%,U.S.A.,3.5,A,Tanzania
Blue Bandana,Zorzal Reserva,2016,75%,U.S.A.,3,A,Dominican Republic
Blue Bandana,Guatemala,2012,70%,U.S.A.,3.5,A,Guatemala
Bonnat,Selva Maya,2016,75%,France,3.5,A,Mexico
Bonnat,Kaori,2014,75%,France,4,A,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75%,France,3.25,A,Dominican Republic
Bonnat,Surfin,2014,65%,France,3.75,A,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,2013,75%,France,3.5,A,Brazil
Bonnat,Gabon,2013,75%,France,3.25,A,Gabon
Bonnat,"Cusco, Cacao Cusco",2011,75%,France,3.5,A,Peru
Bonnat,Libanio,2011,75%,France,3.75,A,Brazil
Bonnat,Haiti,2011,75%,France,4,A,Haiti
Bonnat,Juliana,2011,75%,France,3.5,A,Brazil
Bonnat,Ivory Coast,2009,75%,France,3,A,Ivory Coast
Bonnat,"Ocumare, Puerto Cabello",2006,75%,France,4,A,Venezuela
Bonnat,One Hundred,2006,100%,France,1.5,A,Â 
Bonnat,Ceylan,2006,75%,France,3,A,Sri Lanka
Bowler Man,Conacado,2014,70%,U.S.A.,2.75,A,Dominican Republic
Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70%,U.S.A.,3.75,A,Nicaragua
Brasstown aka It's Chocolate,Conacado,2015,68%,U.S.A.,3.75,A,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70%,U.S.A.,3.25,A,Ecuador
Brazen,Elvesia P.,2015,60%,U.S.A.,3,A,Dominican Republic
Brazen,Elvesia P.,2015,80%,U.S.A.,3.25,A,Dominican Republic
Brazen,"Alta Verapaz, 2014",2015,70%,U.S.A.,3.5,A,Guatemala
Brazen,Ambolikapiky P.,2015,80%,U.S.A.,2.75,A,Madagascar
Brazen,Ambolikapkly P.,2015,60%,U.S.A.,3.25,A,Madagascar
Bright,Marabel Farms,2014,70%,Australia,3.5,A,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",2014,72%,Australia,3.5,A,Ecuador
Britarev,Ecuador,2015,70%,Russia,3.25,A,Ecuador
Bronx Grrl Chocolate,Dominican Republic,2013,68%,U.S.A.,2.75,A,Dominican Republic
Burnt Fork Bend,Mindo,2014,72%,U.S.A.,3.5,A,Ecuador
Burnt Fork Bend,"Ecuador, Bob Bar",2014,60%,U.S.A.,2.5,A,Ecuador
Cacao Arabuco,Puerto Rico,2015,70%,Puerto Rico,2.5,A,Puerto Rico
Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75%,U.S.A.,2.5,A,Dominican Republic
