Model,Trim,Year,Mileage,Price
Civic,LX,2013,52911,9900
Civic,LX,2017,27966,15495
Civic,LX,2016,21639,14995
Civic,LX,2017,21893,15595
Civic,LX,2015,39868,11498
Civic,LX,2015,26416,14000
Civic,LX,2015,29031,12495
Civic,LX,2016,37437,15000
Civic,LX,2017,23999,16971
Civic,LX,2015,26611,14000
Civic,LX,2015,45110,8499
Civic,LX,2016,15355,17466
Civic,LX,2015,24988,12696
Civic,LX,2017,5656,16570
Civic,LX,2018,9942,18350
Civic,LX,2017,17378,17277
Civic,LX,2016,16296,12499
Civic,LX,2016,35719,14995
Civic,LX,2015,46813,8499
Civic,LX,2018,11,19429
Civic,LX,2019,7,20187
Civic,LX,2018,7,19430
Civic,LX,2018,5,19427
Corolla,LE,2016,29384,14994
Corolla,LE,2017,49359,14577
Corolla,LE,2016,35135,13700
Corolla,LE,2017,42574,15266
Corolla,LE,2017,42785,15266
Corolla,LE,2016,29404,14976
Corolla,LE,2015,19000,11000
Corolla,LE,2017,28605,15368
Corolla,LE,2017,10729,16367
Corolla,LE,2015,19673,14550
Corolla,LE,2017,8938,16990
Corolla,LE,2017,10729,16367
Corolla,LE,2017,44202,13956
Corolla,LE,2018,11363,15995
Corolla,LE,2018,6276,15495
Corolla,LE,2018,17573,18499
Corolla,LE,2017,28605,15368
Corolla,LE,2017,43609,14280
Corolla,LE,2015,41436,14995
Corolla,LE,2017,46522,14720
Corolla,LE,2017,45211,13991
Corolla,LE,2019,15,18269
Corolla,LE,2019,11,18410
Corolla,LE,2018,15,19190
Corolla,LE,2019,11,18320
