Class,Gender,Hand,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,Skill,State,Wage,Age,Date,Random,Heart
900,F,R,Y,Y,N,Y,JR,7,62,6,5,ID,9,45,N,4,68
900,F,R,Y,Y,Y,N,JR,58,63,5,5,CA,8.5,40,N,4,71
900,F,R,Y,N,N,N,JR,60,66,5,5,ID,8.25,32,Y,18,23
900,F,R,Y,Y,N,Y,JR,61,68,6,5,MT,9.15,36,N,16,78
900,F,R,Y,Y,N,Y,SR,87,66,4,4,WA,8.55,35,N,13,73
900,F,R,N,Y,N,Y,SR,99,68,7,5,SOUTH AFRICA,26.25,42,Y,8,100
900,F,R,Y,Y,N,Y,SO,31,68,5,4,UT,8.5,40,Y,11,74
900,F,R,Y,N,N,Y,SR,105,67,5,6,ID,10,37,Y,14,62
900,F,R,Y,N,N,Y,SO,30,60,4,6,CO,14,,N,11,45
900,F,R,N,,N,Y,JR,70,63,7,5,ID,12,39,Y,10,60
900,F,R,Y,N,N,Y,JR,50,64,4,5,ID,7.25,45,Y,16,62
900,F,R,N,Y,N,Y,SO,36,69,7,1,ID,7.75,40,N,13,
900,F,R,Y,Y,Y,Y,SR,110,67,6,3,OR,9,39,Y,2,93
900,F,R,Y,Y,Y,Y,JR,60,63,7,5,AZ,8.25,37,N,16,90
900,F,R,N,N,N,Y,SR,84,67,5,4,CA,8.5,43,N,7,
900,F,R,Y,N,N,Y,JR,40,62,5,5,GA,7.25,40,N,17,78
900,F,R,N,N,N,Y,SO,45,61,5,5,AZ,9,42,N,5,
900,F,R,Y,N,N,Y,SO,35,69,4,6,PA,9.25,40,Y,12,
900,F,R,Y,Y,N,Y,SO,52,62,4,4,FL,8.5,40,Y,20,70
900,F,R,Y,Y,N,Y,JR,90,62,2,6,MI,7.5,40,Y,17,75
900,F,R,Y,N,N,Y,JR,60,65,6,5,IN,9.5,39,Y,6,72
900,F,R,Y,Y,N,Y,SO,54,66,7,,CA,13,42,N,17,83
900,F,R,Y,Y,N,Y,SO,46,64,7,3,THAILAND,7.5,40,N,6,70
1015,F,R,Y,Y,Y,N,JR,80,69,1,5,WA,11,44,Y,14,100
1015,F,R,N,N,N,Y,SO,,65,5,4,IA,10,37,Y,16,67
1245,F,R,Y,Y,N,Y,JR,76,64,3,4,IL,8,41,N,3,73
1245,F,R,Y,Y,N,Y,SO,53,62,4,5,IN,10,38,N,17,85
1245,F,R,Y,N,N,N,SR,141,65,7,1,AZ,9.5,52,N,18,65
1245,F,R,Y,N,N,Y,SO,34,67,3,5,AR,8,35,Y,13,80
1245,F,L,Y,N,N,Y,SO,42,65,7,6,UT,8.4,52,Y,19,90
1245,F,R,Y,N,N,Y,SO,39,66,3,4,CO,8.1,41,N,19,82
1245,F,R,Y,Y,N,Y,JR,62,69,5,5,IA,8.1,42,N,15,77
1245,F,R,N,N,N,Y,JR,63,69,2,5,NV,12,43,N,6,80
1245,F,R,Y,Y,N,Y,JR,74,68,3,5,CA,9,45,N,13,62
1245,F,R,N,Y,N,Y,JR,62,62,4,5,OR,10,40,N,4,75
1245,F,L,Y,Y,N,Y,JR,61,60,2,6,CO,12,39,N,7,80
1245,F,L,Y,N,N,Y,SO,48,64,3,4,OK,9.5,40,N,5,80
1245,F,R,Y,Y,Y,Y,JR,74,64,2,5,ME,6,40,Y,7,51
1245,F,R,Y,N,N,N,SO,40,63,5,6,ID,7.25,40,N,17,110
1245,F,R,Y,Y,N,Y,JR,63,65,4,4,WA,15,41,N,18,108
1245,F,R,N,N,N,Y,JR,70,62,4,4,WY,9,42,Y,8,82
1245,F,L,Y,N,Y,Y,SO,41,69,5,5,ID,8.25,45,N,12,88
1245,F,R,Y,Y,N,Y,SR,112,67,5,6,TX,7.9,35,Y,4,90
1245,F,R,Y,N,N,Y,SO,52,62,3,4,TX,8,44,N,5,61
1245,F,R,Y,N,N,Y,SO,,67,7,3,UT,9.5,30,N,20,75
1245,F,R,N,Y,N,Y,FR,38,62,5,5,MN,9,,Y,17,88
1245,F,R,Y,Y,N,N,JR,160,68,3,4,UT,14,48,N,7,90
1245,F,R,Y,N,N,Y,JR,65,60,3,3,ID,8.4,53,N,19,80
1245,F,R,Y,N,N,Y,SR,111,62,5,4,WY,16,40,N,17,80
1245,F,R,Y,N,N,Y,JR,56,66,5,4,CO,10.5,43,N,17,79
1245,F,R,Y,N,N,Y,SR,,67,5,3,CA,8.1,38,Y,17,60
1245,F,R,Y,Y,N,Y,SR,99,64,7,3,NV,20.2,38,Y,7,100
1245,F,R,Y,Y,N,Y,JR,60,70,5,5,ID,8,40,N,18,86
1245,F,R,N,N,Y,Y,SO,54,69,4,6,CA,10,47,N,7,91
315,F,R,N,N,N,Y,SR,12,64,4,4,ID,9,37,N,6,71
315,F,L,Y,Y,N,N,JR,60,62,5,5,CA,9.77,4,N,3,
315,F,R,Y,Y,N,Y,SO,50,64,7,5,TN,8.75,,N,19,
315,F,R,Y,N,N,Y,SO,,64,10,5,CA,8.7,38,Y,18,70
315,F,R,Y,N,Y,Y,SO,30,69,4,4,CO,7.35,45,N,14,76
315,F,R,Y,Y,Y,Y,JR,65,62,7,1,,8,42,N,17,64
315,F,R,Y,Y,N,Y,SO,30,62,5,5,PERU,,33,N,16,56
315,F,R,Y,N,N,Y,JR,60,66,4,2,WA,3.25,37,,6,60
315,F,R,Y,Y,N,Y,SR,,64,7,4,NV,8.5,38,N,17,
315,F,R,Y,N,N,Y,JR,72,65,5,5,HI,12.25,53,N,1,60
315,F,R,Y,N,N,Y,SO,26,67,7,2,NV,,49,Y,17,77
315,F,R,Y,N,Y,N,SO,33,62,3,5,VI,8.6,35,N,17,85
315,F,R,Y,Y,N,Y,JR,49,64,2,5,CO,8.5,37,N,11,86
315,F,R,Y,Y,N,N,SR,120,65,3,5,ID,8.15,38,N,8,69
315,F,R,Y,N,N,Y,JR,6,65,5,5,CA,15,41,N,3,63
315,F,R,Y,Y,N,Y,JR,100,65,4,5,CO,9.25,4,N,3,62
315,F,R,Y,N,Y,N,SR,129,69,7,5,ID,10.5,45,N,19,89
315,F,R,Y,Y,Y,Y,SO,30,65,5,3,OR,9.6,38,Y,15,75
315,F,R,Y,Y,Y,N,SO,34,65,5,7,WA,12,41,Y,8,68
315,F,R,Y,Y,Y,Y,SO,30,,4,6,MN,7.5,38,N,16,66
315,F,R,Y,Y,N,Y,SO,30,63,2,6,CT,8.25,46,Y,13,66
315,F,R,Y,Y,Y,N,SO,28,65,7,4,CANADA,11,45,Y,11,72
315,F,R,Y,Y,N,Y,SR,84,63,10,0,ID,8.1,40,N,19,
315,F,R,N,N,N,N,JR,51,63,2,5,CA,8,40,N,10,
315,F,R,Y,N,N,Y,JR,56,65,4,4,UT,9,37,N,19,75
500,F,R,Y,N,N,Y,SO,27,64,3,5,WI,11.96,43,N,3,67
500,F,R,Y,Y,N,Y,SR,113,65,1,3,IN,9.35,35,Y,13,72
500,F,R,Y,N,N,,JR,,65,4,6,VA,10,40,Y,13,88
500,F,R,Y,Y,N,N,SO,29,65,7,5,CO,9.46,43,N,3,100
500,F,R,Y,Y,N,Y,JR,45,65,6,5,UT,8,48,,6,80
500,F,R,Y,Y,N,Y,SO,33,60,3,5,WA,9.04,37,N,7,56
500,F,R,Y,Y,N,Y,SO,36,69,3,4,ID,,35,Y,16,
500,F,R,Y,Y,N,Y,SO,35,63,5,4,CO,8,45,Y,17,72
500,F,R,Y,Y,N,Y,SR,74,64,5,5,CO,4.62,47,Y,16,48
500,F,R,Y,Y,N,Y,FR,0,69,3,4,UT,9.04,42,N,7,61
500,F,R,N,N,N,Y,SO,28,63,2,5,CA,,48,N,12,80
500,F,R,Y,Y,Y,Y,SO,30,62,6,3,CT,20,42,Y,8,21
500,F,R,Y,Y,N,Y,SO,44,67,5,5,AK,12,47,Y,3,72
500,F,R,N,Y,N,Y,SO,30,61,4,4,CA,10.2,35,N,5,75
500,F,R,Y,N,Y,Y,SR,98,66,7,4,WY,15,44,Y,18,57
500,F,R,N,N,N,Y,JR,78,63,5,5,VA,7.25,32,N,14,60
900,M,R,Y,Y,N,N,SO,55,70,2,6,WA,15,42,N,13,80
