LDS ed.,Date,By,Summary
1,1 Nov 1831,Joseph Smith,"Lord's ""Preface"""
2,21 Sep 1823,Joseph Smith (angelic visitation),Moroni's visit to Joseph Smith
3,1 Jul 1828,Joseph Smith,lost 116 pages
4,1 Feb 1829,Joseph Smith,"To Joseph Smith, Sr."
5,1 Mar 1829,Joseph Smith,To Martin Harris; golden plates
6,1 Apr 1829,Joseph Smith and Oliver Cowdery,To Oliver Cowdery
7,1 Apr 1829,Joseph Smith and Oliver Cowdery,"To Joseph Smith, Oliver Cowdery; John the Apostle"
8,1 Apr 1829,Joseph Smith,To Oliver Cowdery; Book of Mormon translation
9,1 Apr 1829,Joseph Smith,To Oliver Cowdery; Book of Mormon translation
10,1 Apr 1829,Joseph Smith,lost 116 pages
11,1 May 1829,Joseph Smith,To Hyrum Smith
12,1 May 1829,Joseph Smith,"To Joseph Knight, Sr."
13,15 May 1829,Joseph Smith and Oliver Cowdery (angelic visitation),Conferral of Aaronic priesthood by John the Baptist
14,1 Jun 1829,Joseph Smith,To David Whitmer
15,1 Jun 1829,Joseph Smith,To John Whitmer
16,1 Jun 1829,Joseph Smith,"To Peter Whitmer, Jr."
17,1 Jun 1829,Joseph Smith,To Three Witnesses
18,1 Jun 1829,"Joseph Smith, Oliver Cowdery, and David Whitmer",selection of Twelve Apostles
19,1 Jun 1829,Joseph Smith,To Martin Harris
20,6 Apr 1830,Joseph Smith,Church organization and government
21,6 Apr 1830,Joseph Smith,Joseph Smith's calling
22,16 Apr 1830,Joseph Smith,baptism
23,1 Apr 1830,Joseph Smith,"To Oliver Cowdery, Hyrum Smith, Samuel H. Smith, Joseph Smith, Sr., Joseph Knight, Sr."
24,1 Jul 1830,Joseph Smith and Oliver Cowdery,Callings of Joseph Smith and Oliver Cowdery
25,1 Jul 1830,Joseph Smith,To Emma Smith; compilation of a church hymnal
26,1 Jul 1830,"Joseph Smith, Oliver Cowdery, and John Whitmer",Common consent
27,1 Aug 1830,Joseph Smith,Sacrament and priesthood ordinations
28,1 Sep 1830,Joseph Smith,To Oliver Cowdery; Joseph Smith to receive revelations until another appointed
29,1 Sep 1830,Joseph Smith,To six elders; Second Coming; origin of Satan; redemption of children
30,1 Sep 1830,Joseph Smith,"To David Whitmer, Peter Whitmer, Jr., John Whitmer"
31,1 Sep 1830,Joseph Smith,To Thomas B. Marsh
32,1 Oct 1830,Joseph Smith,To Parley P. Pratt and Ziba Peterson
33,1 Oct 1830,Joseph Smith,To Ezra Thayre and Northrop Sweet
34,4 Nov 1830,Joseph Smith,To Orson Pratt
35,7 Dec 1830,Joseph Smith and Sidney Rigdon,Callings Joseph Smith and Sidney Rigdon; signs and miracles; the elect
36,9 Dec 1830,Joseph Smith,To Edward Partridge
37,1 Dec 1830,Joseph Smith and Sidney Rigdon,Saints to gather in Ohio
38,2 Jan 1831,Joseph Smith,equality; wars
39,5 Jan 1831,Joseph Smith,To James Covel
40,6 Jan 1831,Joseph Smith and Sidney Rigdon,Concerning James Covel
41,4 Feb 1831,Joseph Smith,To the church; Edward Partridge called as bishop
42,23 Feb 1831,Joseph Smith,the law of the church
43,1 Feb 1831,Joseph Smith,Role of President of the Church; missionary work; forces of nature
44,1 Feb 1831,Joseph Smith and Sidney Rigdon,Church conference called
45,7 Mar 1831,Joseph Smith,Matthew chapter 24 explained; missionary work; Christ as advocate
46,8 Mar 1831,Joseph Smith,"Sacrament meeting, gifts of the Spirit"
47,8 Mar 1831,Joseph Smith,John Whitmer to keep history of church
48,10 Mar 1831,Joseph Smith,Purchase of lands
49,7 May 1831,Joseph Smith,"To Joseph Smith, Sidney Rigdon, Parley P. Pratt, and Leman Copley; Shaker beliefs"
50,9 May 1831,Joseph Smith,Recognizing the Spirit
51,20 May 1831,Joseph Smith,Property division
52,6 Jun 1831,Joseph Smith,Sending elders to Missouri
53,8 Jun 1831,Joseph Smith,To Algernon Sidney Gilbert
54,10 Jun 1831,Joseph Smith,To Newel Knight
55,14 Jun 1831,Joseph Smith,To W. W. Phelps
56,15 Jun 1831,Joseph Smith,The rebellious; the rich and the poor
57,20 Jul 1831,Joseph Smith,"Location of Zion at Jackson County, Missouri"
58,1 Aug 1831,Joseph Smith,Tribulations; gather to Zion
59,7 Aug 1831,Joseph Smith,The sabbath; reward for the righteous
60,8 Aug 1831,Joseph Smith,"Elders to travel to Cincinnati, Ohio; missionary work"
61,12 Aug 1831,Joseph Smith,Destruction upon the waters
62,13 Aug 1831,Joseph Smith,Missionary work
63,30 Aug 1831,Joseph Smith,Signs; mysteries; impending war and woe; gather to Zion; authority to use Lord's name
64,11 Sep 1831,Joseph Smith,Forgiveness; financial debt; tithing; Zion to flourish
65,30 Oct 1831,Joseph Smith (prayer),Prayer of Joseph Smith; keys of the kingdom
66,29 Oct 1831,Joseph Smith,To William E. McLellin
67,1 Nov 1831,Joseph Smith,Testimony of the Book of Commandments
68,1 Nov 1831,Joseph Smith,"To Orson Hyde, Luke S. Johnson, Lyman E. Johnson, and William E. McLellin; bishops; parents"
69,11 Nov 1831,Joseph Smith,Assignments for John Whitmer
70,12 Nov 1831,Joseph Smith,Stewardship; equality
71,1 Dec 1831,Joseph Smith and Sidney Rigdon,Joseph Smith and Sidney Rigdon called to preach
72,4 Dec 1831,Joseph Smith,Bishops
73,10 Jan 1832,Joseph Smith and Sidney Rigdon,Joseph Smith Translation of the Bible
74,1 Jan 1830,Joseph Smith,Explanation of 1 Corinthians 7:14; salvation of children
75,25 Jan 1832,Joseph Smith,Missionary work; families of missionaries
76,16 Feb 1832,Joseph Smith and Sidney Rigdon (vision),Jesus Christ; resurrection; degrees of glory; origin of Satan
77,1 Mar 1832,Joseph Smith,Explanation of certain verses in Revelation
78,1 Mar 1832,Joseph Smith,United Order; equality
79,12 Mar 1832,Joseph Smith,To Jared Carter
80,7 Mar 1832,Joseph Smith,To Stephen Burnett and Eden Smith
