Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,12,Female,18,Right-Handed,166,21.9,NA,2,Rail (Train/Tram/Subway),40,0.368,61,Gymnastics,950,850,850,950,300,650,21.9,Same length,76,80,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Geography,7,10,5,Yes - broadband connection,Text messaging,500,650,12,20,5,8,3,0,6,5,1,5,6,5,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Teacher,Environment
USA,PA,2018,12,Male,17,Right-Handed,189,28,185,1,Car,8,0.3,46,Swimming,960,936,892,949,674,977,28,Same length,100,95,Index finger,April,Fall,No,No,Pizza/Pasta,Water,History,7,8.5,5,Yes - broadband connection,In person,30,31,10,0.5,6,7,12,0,5,1,1,4,16,2,Some,Undergraduate degree,Punk rock,Freeze time,Happy,Relative,Environment
USA,TN,2018,12,Female,18,Right-Handed,164,23,164,1,Car,4,0.65,31,None,800,700,800,700,200,700,24,Left foot,70,75,Ring finger,January,Summer,Yes,No,Meat,Juice,Art,7,10,4,Yes - other,Internet chat or instant messaging,100,105,60,6,2,40,5,0,30,10,20,15,0,10,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Musician or singer,Environment
USA,IL,2018,12,Female,17,Right-Handed,158,23,165,2,Car,4,0.315,38,Athletics,1000,1000,1000,1000,235,471,22,Right foot,88,103,Ring finger,April,Fall,Yes,No,Breads/Sandwiches,Water,Languages,6,10,4,Yes - broadband connection,In person,75,60,14,1,20,11,8,0,7,10,12,6,21,0,A lot,Graduate degree,Other,Freeze time,Happy,Other,"Wildlife, animals"
USA,CA,2018,12,Male,17,Right-Handed,183,24,180,2,Car,10,0.373,46,Baseball/Softball,471,551,583,444,695,850,24,Same length,85,80,Same length,March,Spring,No,No,Meat,Water,Computers and technology,5,7,2,Yes - broadband connection,Text messaging,30,30,7,1,2,4,10,3,1,1,9,2,0,1,A lot,Graduate degree,Rock and roll,Fly,Happy,Sports person,Education/Youth development
USA,CA,2018,12,Male,17,Right-Handed,156,23,160,2,Car,10,0.365,41,Soccer,500,250,500,250,250,750,24,Left foot,90,80,Index finger,December,Winter,No,No,Meat,Water,Mathematics and statistics,8,7,4,Yes - other,In person,2,2,10,1,3,20,8,20,4,2,10,2,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Famous,Other,International aid
USA,CA,2018,12,Female,17,Right-Handed,157,22,153,2,Car,12,0.148,29,Dancing,471,500,1000,500,1000,1000,23,Left foot,115,113,Index finger,November,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,6,10,5,Yes - broadband connection,In person,30,30,10,1,20,5,0,15,90,5,100,5,0,0,A lot,Graduate degree,Rhythm and blues (R&B),Invisibility,Famous,Politician,Education/Youth development
USA,IL,2018,12,Male,18,Left-Handed,188,30,188,1,Bus,15,0.397,54,Golf,0,0,0,0,0,0,30,Left foot,150,140,Ring finger,August,Winter,Yes,No,Fruit,Water,Other,7,8,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,0,12,0,0,8,8,8,8,8,8,8,15,0,Some,Graduate degree,Reggae,Freeze time,Famous,Sports person,"Wildlife, animals"
USA,ID,2018,12,Female,23,Right-Handed,172,23,173,1,Walk,15,0.562,48,Walking/Hiking,800,800,800,800,700,800,24,Left foot,90,80,Index finger,January,Fall,No,No,Rice/Noodle dishes,Water,Physical education,6,10,6,Yes - broadband connection,Text messaging,45,56,8,3,25,1,1,0,6,6,15,2,20,3,Some,Graduate degree,Country,Telepathy,Healthy,Actor,International aid
USA,MI,2018,12,Male,18,Right-Handed,186,25,153,1,Car,9,0.4,79,Football (American),1000,1000,658,754,406,1000,25,Same length,95,75,Index finger,August,Summer,No,No,Pizza/Pasta,Water,History,6.5,10,2,Yes - other,Text messaging,30,100,10,0,0,10,10,5,7,8,0,10,10,0,Very little,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Wildlife, animals"
USA,NH,2018,12,Female,17,Right-Handed,161,24,163,1,Car,8,0.2824,35,Gymnastics,450,450,450,460,476,481,23,Right foot,68,70,Ring finger,June,Summer,Yes,No,Fruit,Water,Other,5,6,3,Yes - broadband connection,Text messaging,20,40,4,2,35,4,28,0,2,2,3,1,0,1,A lot,Graduate degree,Pop,Telepathy,Happy,Sports person,Other
USA,ID,2018,12,Female,20,Right-Handed,170,24,163,1,Walk,10,0.355,32,Dancing,786,150,390,123,963,583,24,Same length,70,65,Index finger,December,Summer,No,No,Seafood,Water,History,7,8.5,5,Yes - broadband connection,Text messaging,40,50,6,1,30,3,10,2,8,7,40,6,0,3,A lot,Graduate degree,Country,Fly,Healthy,Relative,Health
USA,WI,2018,12,Female,17,Right-Handed,160,22,162,2,Car,30,0.425,47,Dancing,1000,1000,1000,1000,1000,1000,22,Same length,6.5,7,Ring finger,March,Fall,Yes,No,Rice/Noodle dishes,Sports drink,Science,8,10,6,Yes - broadband connection,Internet chat or instant messaging,100,100,30,5,10,5,14,1,30,30,100,28,0,0,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Musician or singer,International aid
USA,CA,2018,12,Female,21,Right-Handed,5.1,6.5,57,2,Car,15,5,3,Soccer,NA,3,5,NA,NA,NA,7,Right foot,NA,NA,Same length,March,Winter,No,NA,Seafood,Water,Art,4,6,6,Yes - dial-up connection,Cell phone,5,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very little,Some college,Rap/Hip hop,Super strength,Rich,NA,"Arts, culture, sports"
USA,NH,2018,12,Male,18,Right-Handed,178,24,172,1,Car,8,0.39,42,Athletics,503,572,0,305,326,326,25,Left foot,101,107,Ring finger,February,Summer,No,No,Poultry,Juice,Mathematics and statistics,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,40,5,1,10,10,10,20,2,10,10,20,18,10,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Relative,Education/Youth development
USA,MA,2018,12,Male,17,Right-Handed,188,26,188,1,Car,5,0.328,46,Football (American),850,850,800,900,900,1000,26,Same length,76,74,Index finger,August,Summer,Yes,No,No favorite,Water,Physical education,8,9,2,Yes - other,Text messaging,100,100,6,1,3,0,15,4,1,4,1,1,10,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Other,Religious
