"Name","Gender","Address","Phone","AvgFloorPlanCost","MaxFloorPlanCost","Residents","ParkingSpaces","Deposit","FloorPlanNumber","WebAddress","Latitude","Longitude","PublicDescription","CrowFlyMetersToMC","CrowFlyMetersToRicks"
"ABBY LANE MANOR","F","437 S 4TH W","(208) 643-3731",1200,1350,42,35,75,3,"www.abbylaneapartments.com",43.81710724,-111.7949519,"Abby Lane Manor is a women's complex offering spacious private and shared rooms that is just a ten minute walk from campus. Our girls enjoy amenities such as free laundry, personal vanities in each bedroom, 3 bathrooms, 2 fridges, A/C, free off track storage, and parking passes for only $25! As you can imagine we fill up extremely fast, so come sign up today!",1013.45250687716,1122.73892409909
"ABRI APARTMENTS - MEN","M","220 E 1ST S","(208) 417-7223",1660,1670,132,204,150,3,"www.liveabri.com",43.82340456,-111.7774263,"We offer two beautiful and unique floor plans! Our Deluxe is all one floor and our Townhome is two floors. Upscale, modern finishes, state-of-the-art fitness center, fully equipped clubhouse, study rooms, courtyard with fire pit & grills! 3 FULL Baths! 55"" Smart TVs in each apt! Contact us today!",685.719421907855,998.114322610954
"ABRI APARTMENTS - WOMEN","F","220 E 1ST S","(208) 417-7223",1660,1670,144,204,150,3,"liveabri.com",43.82340456,-111.7774263,"Deluxe & Townhome Floorplans! Offering early bird special of $100 off! Upscale, modern finishes, state-of-the-art fitness center, fully equipped clubhouse, study rooms, courtyard with firepit & grills! 3 FULL Baths! 55"" Smart TVs in each apt! Ask us about our amazing rates with our track leases & 12 month lease! Price reflects early bird discount.",685.719421907855,998.114322610954
"ALLDREDGE HOUSE","M","243 S 1ST E","986-231-8518",1045,1095,8,8,150,3,"",43.82074947,-111.7806074,"Hurry quick! Come make ALLDREDGE HOUSE your home away from home! Located directly across the street from the Clarke Building and only a few blocks away from down town. Great Ward with the guys right next door!",297.964284614959,654.806992347697
"ALLEN'S SUNRISE VILLAGE - MEN","M","48 W 2ND S","208-356-3995",1181.67,1225,138,133,150,6,"www.sunrisevillageapts.com",43.82275434,-111.7857894,"Sale on multi-semester contracts happening now.  Save up to $175 + FREE Laundry! We are well-known for our friendliness, two refrigerators, low prices, great location, our free laundry, reliable OPTIX internet and amazing managers. You'll love having all Sunrise men and women in your ward! We would love to show you why everyone loves to live at Sunrise Village. www.SunriseVillageApts.com",547.940773576173,945.30118183435
"ALLEN'S SUNRISE VILLAGE - WOMEN","F","48 W 2ND S","208-356-3995",1225,1225,144,133,150,3,"www.sunrisevillageapts.com",43.82275434,-111.7857894,"Sale on multi-semester contracts happening now.  Save up to $175 + FREE Laundry! We are well-known for our friendliness, two refridgerators, low prices, great location, our free laundry, reliable OPTIX internet and amazing managers. You'll love having all Sunrise men and women in your ward! We would love to show you why everyone loves to live at Sunrise Village. www.SunriseVillageApts.com",547.940773576173,945.30118183435
"ALPINE CHALET","M","460 S 2ND W","(208) 356-9282",1030,1085,162,111,150,6,"www.rexburghousing.com/alpine-chalet",43.81603117,-111.790199,"Alpine Chalet is a great place to live!  It is close to campus and surrounded by many BYUI housing complexes.  It has an amazing pool, hot tub, and weight room. Not to mention, we added 2nd fridges and smart TVs to all of our apartments! There is an outdoor gas fire pit and built-in barbecue area that is great for hanging out with friends or studying.",675.489213767168,724.130933091984
"AMERICAN AVENUE - MEN","M","151 S 1ST E","208-356-5097",1505,1695,86,110,150,7,"www.myamericanavenue.com",43.8227079,-111.779674,"At American Avenue we have several apartment layouts for you to make home.  We are currently under renovation and things are amazing! Our apartment homes have shared room or private room options next to campus and steps from downtown Rexburg. We offer covered parking and great savings when you sign multi-semester contracts.  Right now you can save up to $175!",525.534995518202,880.014318150109
"AMERICAN AVENUE - WOMEN","F","151 S 1ST E","208-356-5097",1225,1225,138,110,150,3,"myamericanavenue.com",43.8227079,-111.779674,"At American Avenue we have several apartment layouts for you to make home.  We are currently under renovation & things are amazing! Our apartment homes have shared room or private room options next to campus & steps from downtown Rexburg. We offer great savings when you sign multi-semester contracts & a friend referral bonus! Right now you can save up to $175!",525.534995518202,880.014318150109
"ARCADIA APARTMENTS","M","138 W 4th S","208-881-2935",995,995,41,30,100,6,"www.arcadiarexburg.com",43.81813297,-111.7880264,"Arcadia Apartments is located just across from the BYU-Idaho Center, literally steps from campus. Arcadia is priced at just $400. Arcadia offers clean, comfortable apartments with a very social atmosphere.  Awesome amenities include; sand Volleyball, Basketball Court, Apple TV, and so much more.  Call/text us at 208-881-2935 for info or to schedule a tour!",446.711060732614,648.084981884298
"AT THE GROVE","F","349 HARVARD AVE","512-363-2396",1250,1250,6,6,150,1,"atthegroveapts.com",43.81865937,-111.7763239,"At The Grove is a spacious basement apartment, located just a stone's throw away from the east side of campus, and around the corner from the temple. Here you will enjoy the feeling of ""home,"" in apartment laundry, great managers, a great ward, and a large backyard. You'll feel right at home here At The Grove!",496.662577261209,582.402605528998
"AUTUMN WINDS - MEN","M","160 W 5TH S","(208) 356-0821",1725,1725,24,150,150,1,"www.rexburghousing.com/autumn-winds",43.81599246,-111.7884877,"Private rooms! Only 4 students per apartment. Two bathroom and in-unit W/D.  Very well maintained and close to campus!!  We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities that include 2 swimming pools, theater room, free haircuts, and much more! Spots in Autumn Winds get reserved extremely quickly, so sign up for your own private room NOW!",553.882039925135,588.197656526296
"AUTUMN WINDS - WOMEN","F","160 W 5TH S","(208) 356-0821",1725,1725,96,150,150,1,"www.rexburghousing.com/autumn-winds",43.81599246,-111.7884877,"Autumn Winds offers Private rooms with only 4 people per apartment! There are two bathrooms with 2 sinks each, so you will have your own vanity area. Each apartment has in-unit W/D, so you won't need to drag your laundry anywhere. We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities. Space at Autumn Winds goes quickly, so reserve your spot today!",553.882039925135,588.197656526296
"AVONLEA - MEN","M","175 W 3RD S","208-359-0920",1177,1290,76,31,80,15,"www.rexburgstudenthousing.com/new/property/14",43.820138,-111.788876,"A short three-minute walk to the Hart Building! Enjoy a great social atmosphere living directly across from Avonlea Women. Tons of parking is available in our overflow lot. The massive bedrooms feature in-bedroom bathrooms. Amenities include two fridges, wall-mounted TVs, free laundry, and an awesome lounge with a barbecue patio, ping pong, foosball, and a large movie room!",547.29462568831,841.950273917512
"AVONLEA - WOMEN","F","175 W 3RD S","(208) 359-0920",1398.33,1725,66,54,80,6,"www.rexburgstudenthousing.com/new/property/13",43.81944123,-111.789228,"Avonlea prides itself on being one of the most sought-after properties at BYU-I. You’ll enjoy the beautiful grounds for relaxing, games, or FHE parties and an amazing location so close to campus! Each unit has private and shared rooms, a washer/dryer, a spacious vanity and bathroom area, a homey feel, and the ward is amazing! The lounge has study areas, a piano room, and a TV for movie nights!",553.367426583124,812.134986535789
"BAYSIDE MANOR","F","248 1/2 CORNELL AVE","208-794-0652",985,985,8,8,90,1,"baysidemanor.blogspot.com",43.82065271,-111.7798457,"With its prime location close to the girls dorms and across the street from campus, you can get the off-campus experience and great location all at the same time. Bayside Manor is a basement apartment that houses 8 girls. It has 3 large bedrooms, 2 bathrooms, 2 refrigerators, study room, storage room, laundry room, fireplace, internet, cable t.v., yard, & lots of space! Call today 208-794-0652",325.111325094436,652.567329437239
"BIRCH PLAZA - MEN","M","236 S 1ST W","(208) 359-8200",1301.67,1505,98,60,150,6,"www.rexburghousing.com/birch-plaza",43.82093525,-111.78819,"Some choose to spend all of their BYU-Idaho years living at Birch Plaza. That's how good it is. The wards are outstanding, and there's a sense of community that you'll find almost nowhere else. Birch Plaza has an onsite a hot tub, an exercise room, and a spacious lounge. It's also right across the street from the BYU Idaho stadium! You'll love it here.",535.853813010691,869.682528230362
