Gender,Age,Height,Weight,Number_of_siblings,Dominant_hand,Education,Only_child,Fear_score,Religiosity_score,Smoking,Alcohol,I_live_a_healthy_lifestyle,I_like_music,Music_diversity_score,Punctuality,Lying,Happiness_score
female,20,163,48,1,right handed,college/bachelor degree,no,38,60,never smoked,drink a lot,Agree,Strongly Agree,33,i am always on time,never,13
female,19,163,58,2,right handed,college/bachelor degree,no,32,33,never smoked,drink a lot,Neither Agree nor Disagree,Agree,44,i am often early,sometimes,10
female,20,176,67,2,right handed,secondary school,no,22,83,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,63,i am often running late,sometimes,11
female,22,172,59,1,right handed,college/bachelor degree,yes,72,50,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,34,i am often early,only to avoid hurting someone,6
female,20,170,59,1,right handed,secondary school,no,36,77,tried smoking,social drinker,Agree,Strongly Agree,51,i am always on time,everytime it suits me,11
male,20,186,77,1,right handed,secondary school,no,38,53,never smoked,never,Disagree,Strongly Agree,58,i am often early,only to avoid hurting someone,10
female,20,177,50,1,right handed,secondary school,no,40,73,tried smoking,social drinker,Agree,Strongly Agree,48,i am often early,never,12
male,19,184,90,1,right handed,college/bachelor degree,no,56,60,current smoker,drink a lot,Disagree,Strongly Agree,43,i am always on time,sometimes,12
female,18,166,55,1,right handed,secondary school,no,64,60,tried smoking,social drinker,Strongly Disagree,Strongly Agree,38,i am often early,sometimes,7
female,19,174,60,3,right handed,secondary school,no,80,83,never smoked,drink a lot,Neither Agree nor Disagree,Strongly Agree,58,i am often running late,sometimes,11
female,19,175,60,2,left handed,secondary school,no,34,60,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,46,i am often early,sometimes,10
female,17,176,60,1,right handed,primary school,no,78,30,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,36,i am often running late,everytime it suits me,9
female,24,168,55,10,right handed,college/bachelor degree,no,36,40,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am often running late,only to avoid hurting someone,10
female,19,165,55,1,right handed,secondary school,no,56,53,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,42,i am often early,only to avoid hurting someone,12
female,22,175,57,1,right handed,college/bachelor degree,no,74,83,current smoker,social drinker,Strongly Disagree,Strongly Agree,50,i am often early,only to avoid hurting someone,13
male,18,177,77,0,right handed,secondary school,yes,30,40,former smoker,social drinker,Strongly Agree,Strongly Disagree,54,i am always on time,only to avoid hurting someone,9
