Apartment Name,Address,Phone,Price Low,Price High,StatusFall25,Housing Type,Residents,ParkingSpaces,Deposit,FloorPlanNumber,WebAddress,Latitude,Longitude,PublicDescription,CrowFlyMetersToMC,CrowFlyMetersToRicks
ABBY LANE MANOR,437 4th W,208-643-8731,1050,1450,Full,Approved Women's Housing,42,35,75,3,www.abbylaneapartments.com,43.81710724,-111.7949519,"Abby Lane Manor is a women's complex offering spacious private and shared rooms that is just a ten minute walk from campus. Our girls enjoy amenities such as free laundry, personal vanities in each bedroom, 3 bathrooms, 2 fridges, A/C, free off track storage, and parking passes for only $25! As you can imagine we fill up extremely fast, so come sign up today!",1013.452507,1122.738924
ABRI APARTMENTS - MEN,"220 E 1st S Rexburg, ID
                                                        83440",(208) 417-7223,1800,1850,Full,Approved Men's Housing,132,204,150,3,www.liveabri.com,43.82340456,-111.7774263,"We offer two beautiful and unique floor plans! Our Deluxe is all one floor and our Townhome is two floors. Upscale, modern finishes, state-of-the-art fitness center, fully equipped clubhouse, study rooms, courtyard with fire pit & grills! 3 FULL Baths! 55"" Smart TVs in each apt! Contact us today!",685.7194219,998.1143226
ABRI APARTMENTS - WOMEN,220 E 1st S,208-417-7223,1800,1850,Waiting List,Approved Women's Housing,144,204,150,3,liveabri.com,43.82340456,-111.7774263,"Deluxe & Townhome Floorplans! Offering early bird special of $100 off! Upscale, modern finishes, state-of-the-art fitness center, fully equipped clubhouse, study rooms, courtyard with firepit & grills! 3 FULL Baths! 55"" Smart TVs in each apt! Ask us about our amazing rates with our track leases & 12 month lease! Price reflects early bird discount.",685.7194219,998.1143226
ALLDREDGE HOUSE,"243 S 1st E Rexburg, ID
                                                        83440",208-794-0652,1095,1795,NA,Approved Men's Housing,8,8,150,3,NA,43.82074947,-111.7806074,Hurry quick! Come make ALLDREDGE HOUSE your home away from home! Located directly across the street from the Clarke Building and only a few blocks away from down town. Great Ward with the guys right next door!,297.9642846,654.8069923
ALLEN'S SUNRISE VILLAGE - MEN,"48 W 2nd S Rexburg, ID
                                                        83440",208-356-3995,1145,1250,Waiting List,Approved Men's Housing,138,133,150,6,www.sunrisevillageapts.com,43.82275434,-111.7857894,"Sale on multi-semester contracts happening now.  Save up to $175 + FREE Laundry! We are well-known for our friendliness, two refrigerators, low prices, great location, our free laundry, reliable OPTIX internet and amazing managers. You'll love having all Sunrise men and women in your ward! We would love to show you why everyone loves to live at Sunrise Village. www.SunriseVillageApts.com",547.9407736,945.3011818
ALLEN'S SUNRISE VILLAGE - WOMEN,48 W 3rd S,208-356-3995,1250,1295,Waiting List,Approved Women's Housing,144,133,150,3,www.sunrisevillageapts.com,43.82275434,-111.7857894,"Sale on multi-semester contracts happening now.  Save up to $175 + FREE Laundry! We are well-known for our friendliness, two refridgerators, low prices, great location, our free laundry, reliable OPTIX internet and amazing managers. You'll love having all Sunrise men and women in your ward! We would love to show you why everyone loves to live at Sunrise Village. www.SunriseVillageApts.com",547.9407736,945.3011818
ALPINE CHALET,"460 S 2nd W Rexburg, ID
                                                        83440-2333",(208) 356-9282,1049,1199,Waiting List,Approved Men's Housing,162,111,150,6,www.rexburghousing.com/alpine-chalet,43.81603117,-111.790199,"Alpine Chalet is a great place to live!  It is close to campus and surrounded by many BYUI housing complexes.  It has an amazing pool, hot tub, and weight room. Not to mention, we added 2nd fridges and smart TVs to all of our apartments! There is an outdoor gas fire pit and built-in barbecue area that is great for hanging out with friends or studying.",675.4892138,724.1309331
AMERICAN AVENUE - MEN,"151 S 1st E Rexburg, ID
                                                        83440-1900",208-356-5097,1225,1695,NA,Approved Men's Housing,86,110,150,7,www.myamericanavenue.com,43.8227079,-111.779674,At American Avenue we have several apartment layouts for you to make home.  We are currently under renovation and things are amazing! Our apartment homes have shared room or private room options next to campus and steps from downtown Rexburg. We offer covered parking and great savings when you sign multi-semester contracts.  Right now you can save up to $175!,525.5349955,880.0143182
AMERICAN AVENUE-WOMEN,151 E 4th E,208-350-5097,1250,1250,Full,Approved Women's Housing,138,110,150,2,www.myamericanavenue.com,43.8227079,-111.779674,At American Avenue we have several apartment layouts for you to make home.  We are currently under renovation and things are amazing! Our apartment homes have shared room or private room options next to campus and steps from downtown Rexburg. We offer covered parking and great savings when you sign multi-semester contracts.  Right now you can save up to $175!,525.5349955,880.0143182
ARCADIA APARTMENTS,"138 W 4th S Rexburg, ID
                                                        83440-2487",208-881-2935,1095,1095,Full,Approved Men's Housing,41,30,100,6,www.arcadiarexburg.com,43.81813297,-111.7880264,"Arcadia Apartments is located just across from the BYU-Idaho Center, literally steps from campus. Arcadia is priced at just $400. Arcadia offers clean, comfortable apartments with a very social atmosphere.  Awesome amenities include; sand Volleyball, Basketball Court, Apple TV, and so much more.  Call/text us at 208-881-2935 for info or to schedule a tour!",446.7110607,648.0849819
